"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","latitude","longitude","last_modified"
"1",6910758,30920210,"Shared room",NA,"South of Market",125,5,2,1,99,NA,37.775244,-122.407506,"2017-01-14 13:48:59.706682"
"2",259622,329072,"Shared room",NA,"Financial District",117,4.5,4,1,45,NA,37.79441,-122.404725,"2017-01-14 13:48:52.887946"
"3",229240,329072,"Shared room",NA,"Financial District",194,4.5,4,1,45,NA,37.793414,-122.403399,"2017-01-14 13:48:52.880973"
"4",70753,329072,"Shared room",NA,"Financial District",206,4.5,4,1,45,NA,37.79447,-122.404505,"2017-01-14 13:48:52.870603"
"5",4518031,22931450,"Shared room",NA,"North Beach",138,4.5,4,1,56,NA,37.799382,-122.405487,"2017-01-14 13:48:52.862005"
"6",4519780,22931450,"Shared room",NA,"North Beach",101,4.5,4,1,56,NA,37.798829,-122.404739,"2017-01-14 13:48:52.851432"
"7",72444,329072,"Shared room",NA,"Financial District",184,4.5,4,1,45,NA,37.793088,-122.404431,"2017-01-14 13:48:51.449214"
"8",5253439,23278,"Shared room",NA,"Mission",101,5,1,1,49,NA,37.757834,-122.413087,"2017-01-14 13:48:51.420609"
"9",5196399,23278,"Shared room",NA,"Mission",101,5,1,1,49,NA,37.756869,-122.414603,"2017-01-14 13:48:51.403697"
"10",241235,329072,"Shared room",NA,"Financial District",178,4.5,4,1,45,NA,37.792708,-122.403826,"2017-01-14 13:48:51.400252"
"11",1408281,1753794,"Shared room",NA,"Castro/Upper Market",206,5,1,1,40,NA,37.764332,-122.436643,"2017-01-14 13:48:43.332284"
"12",4526608,746254,"Entire home/apt",NA,"Bayview",126,4.5,3,1,105,NA,37.734297,-122.38795,"2017-01-14 12:42:24.620507"
"13",3759246,19246456,"Entire home/apt",NA,"Outer Sunset",116,4.5,2,0,99,NA,37.755747,-122.479168,"2017-01-14 12:42:01.613094"
"14",606555,3004643,"Entire home/apt",NA,"South of Market",104,5,12,1,900,NA,37.780743,-122.403371,"2017-01-14 12:41:22.677633"
"15",2887744,14757827,"Entire home/apt",NA,"Western Addition",108,5,8,4,750,NA,37.777108,-122.442951,"2017-01-14 12:41:18.518878"
"16",3789600,17249115,"Entire home/apt",NA,"Nob Hill",126,5,8,3,550,NA,37.794569,-122.41349,"2017-01-14 12:38:51.105174"
"17",1724819,9091173,"Entire home/apt",NA,"Twin Peaks",145,5,4,2,333,NA,37.758598,-122.45049,"2017-01-14 12:13:30.664765"
"18",128230,634277,"Entire home/apt",NA,"Castro/Upper Market",114,5,3,1,348,NA,37.758868,-122.435648,"2017-01-14 12:11:34.528294"
"19",60365,279544,"Entire home/apt",NA,"Western Addition",193,5,6,3,365,NA,37.769656,-122.434962,"2017-01-14 12:11:34.522521"
"20",3863281,19937219,"Entire home/apt",NA,"Mission",121,5,5,2,400,NA,37.757266,-122.418732,"2017-01-14 12:10:06.686540"
"21",1914873,9932011,"Entire home/apt",NA,"Western Addition",117,5,6,2,365,NA,37.769742,-122.429703,"2017-01-14 12:10:05.532651"
"22",7278586,1867997,"Entire home/apt",NA,"Western Addition",105,5,5,1,345,NA,37.777592,-122.433548,"2017-01-14 12:09:59.733123"
"23",6107359,640797,"Entire home/apt",NA,"Mission",111,5,6,2,319,NA,37.755873,-122.409057,"2017-01-14 12:09:58.877151"
"24",1584021,339788,"Entire home/apt",NA,"Mission",105,5,4,2,395,NA,37.766626,-122.420195,"2017-01-14 12:09:52.158316"
"25",1276744,3969198,"Entire home/apt",NA,"South of Market",127,4.5,4,2,358,NA,37.780228,-122.406797,"2017-01-14 12:09:34.784664"
"26",3199784,16215823,"Entire home/apt",NA,"South of Market",132,4.5,6,2,322,NA,37.779612,-122.391949,"2017-01-14 12:09:29.283473"
"27",734839,3832802,"Entire home/apt",NA,"North Beach",155,5,6,2,330,NA,37.801526,-122.4094,"2017-01-14 12:09:17.629270"
"28",536929,2607120,"Entire home/apt",NA,"Outer Mission",223,5,8,3,245,NA,37.721951,-122.443793,"2017-01-14 11:52:49.360778"
"29",1767543,9286454,"Entire home/apt",NA,"Western Addition",151,4.5,7,2,350,NA,37.779763,-122.442756,"2017-01-14 12:09:15.068044"
"30",57479,210882,"Entire home/apt",NA,"Haight Ashbury",117,5,5,2,400,NA,37.774595,-122.439229,"2017-01-14 12:09:11.184546"
"31",5858,8904,"Entire home/apt",NA,"Bernal Heights",111,5,4,2,227,NA,37.745112,-122.421018,"2017-01-14 11:52:39.625260"
"32",183859,882283,"Entire home/apt",NA,"Glen Park",128,5,4,2,224,NA,37.736257,-122.43677,"2017-01-14 11:50:54.013012"
"33",3689368,15698216,"Entire home/apt",NA,"Bayview",158,4.5,6,2,224,NA,37.728375,-122.397801,"2017-01-14 11:40:18.076547"
"34",7615490,36128883,"Entire home/apt",NA,"West of Twin Peaks",118,5,4,1,240,NA,37.73537,-122.44378,"2017-01-14 11:40:08.445356"
"35",6437264,33605598,"Entire home/apt",NA,"Noe Valley",163,4.5,6,2,225,NA,37.748502,-122.435591,"2017-01-14 11:35:51.118922"
"36",658588,3320853,"Entire home/apt",NA,"Twin Peaks",149,5,6,2,235,NA,37.756032,-122.446435,"2017-01-14 11:35:47.838105"
"37",3344631,15726799,"Entire home/apt",NA,"Mission",119,4.5,4,2,208,NA,37.751535,-122.417821,"2017-01-14 11:35:36.062343"
"38",488297,1261971,"Entire home/apt",NA,"Noe Valley",138,5,6,3,399,NA,37.756133,-122.440661,"2017-01-14 12:08:08.133418"
"39",7344289,1656069,"Entire home/apt",NA,"Inner Richmond",132,5,9,2,375,NA,37.781181,-122.466333,"2017-01-14 12:08:07.052148"
